,city,state,name,zip,address,neighborhood,pet.allowed,pet.rent,pet.deposit,pet.fee,has.covered,garage.fee,lot.fee,has.street,covered.fee,has.lot,street.fee,has.garage,college.count,Robert.Morris.University.Illinois,DePaul.University,Roosevelt.University,Public.Elementary..Middle.School,Public.High.School,Private.Elementary..Middle.School,Private.Elementary.Middle..High.School,South.Loop.Elementary.School,Smyth..J.Elementary.School,Phillips.Academy.High.School,Hope.College.Prep.High.School,Village.Leadership.Academy,British.International.School.of.Chicago.South.Loop,shopping.num,base.num,rec.num,air.num,transit.num,rail.num,transit.score,bike.score,sound.score,walk.score,busi.level,air.level,traffic.level,beds,sqft,baths,rent
0,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,0.0,624.0,1.0,2273.0
1,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,0.0,418.0,1.0,1629.0
2,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,0.0,568.0,1.0,2001.0
3,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,0.0,407.0,1.0,
4,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,0.0,407.0,1.0,
5,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,0.0,408.0,1.0,
6,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,0.0,408.0,1.0,
7,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,0.0,416.0,1.0,
8,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,0.0,416.0,1.0,
9,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,0.0,418.0,1.0,
10,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,0.0,437.0,1.0,
11,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,0.0,437.0,1.0,
12,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,0.0,438.0,1.0,
13,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,0.0,439.0,1.0,
14,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,0.0,438.0,1.0,
15,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,0.0,442.0,1.0,
16,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,0.0,443.0,1.0,
17,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,0.0,447.0,1.0,
18,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,0.0,447.0,1.0,
19,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,0.0,448.0,1.0,
20,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,0.0,448.0,1.0,
21,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,0.0,453.0,1.0,
22,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,0.0,464.0,1.0,
23,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,0.0,467.0,1.0,
24,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,0.0,468.0,1.0,
25,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,0.0,468.0,1.0,
26,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,0.0,579.0,1.0,
27,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,0.0,579.0,1.0,
28,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,0.0,602.0,1.0,
29,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,0.0,602.0,1.0,
30,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,0.0,680.0,1.0,
31,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,0.0,685.0,1.0,
32,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,1.0,744.0,1.0,2426.0
33,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,1.0,743.0,1.0,2528.0
34,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,1.0,794.0,1.0,2635.0
35,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,1.0,720.0,1.0,2288.0
36,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,1.0,661.0,1.0,
37,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,1.0,666.0,1.0,
38,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,1.0,666.0,1.0,
39,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,1.0,667.0,1.0,
40,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,1.0,674.0,1.0,
41,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,1.0,674.0,1.0,
42,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,1.0,707.0,1.0,
43,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,1.0,711.0,1.0,
44,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,1.0,716.0,1.0,
45,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,1.0,716.0,1.0,
46,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,1.0,716.0,1.0,
47,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,1.0,725.0,1.0,
48,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,1.0,727.0,1.0,
49,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,1.0,727.0,1.0,
50,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,1.0,728.0,1.0,
51,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,1.0,742.0,1.0,
52,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,1.0,743.0,1.0,
53,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,1.0,744.0,1.0,
54,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,1.0,744.0,1.0,
55,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,1.0,744.0,1.0,
56,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,1.0,745.0,1.0,
57,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,1.0,745.0,1.0,
58,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,1.0,745.0,1.0,
59,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,1.0,777.0,1.0,
60,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,1.0,781.0,1.0,
61,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,1.0,784.0,1.0,
62,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,1.0,794.0,1.0,
63,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,1.0,800.0,1.0,
64,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,1.0,800.0,1.0,
65,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,1.0,801.0,1.0,
66,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,1.0,801.0,1.0,
67,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,1.0,802.0,1.0,
68,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,1.0,802.0,1.0,
69,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,1.0,823.0,1.0,
70,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,1.0,823.0,1.0,
71,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,1.0,824.0,1.0,
72,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,1.0,831.0,1.0,
73,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,1.0,837.0,1.0,
74,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,1.0,831.0,1.0,
75,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,2.0,1119.0,2.0,3537.0
76,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,2.0,1126.0,2.0,
77,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,2.0,1208.0,2.0,
78,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,2.0,1213.0,2.0,
79,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,2.0,1213.0,2.0,
